sample-id	Plant	Wheat variety	Treatment	Block	Plot	Compartment	Plant height (cm)	Plant_biomass_(g)
T-polonicum-T-RS-3-20	Triticum_polonicum	Ancestral	Treated	3	20	Rhizosphere	90	2.98
T-polonicum-T-RS-4-5	Triticum_polonicum	Ancestral	Treated	4	5	Rhizosphere	97	3.48
T-polonicum-UnT-RS-1-30	Triticum_polonicum	Ancestral	UnTreated	1	30	Rhizosphere	82	0.63
T-polonicum-UnT-RS-2-13	Triticum_polonicum	Ancestral	UnTreated	2	13	Rhizosphere	78.5	0.58
T-polonicum-UnT-RS-3-3	Triticum_polonicum	Ancestral	UnTreated	3	3	Rhizosphere	84	0.72
T-polonicum-UnT-RS-4-12	Triticum_polonicum	Ancestral	UnTreated	4	12	Rhizosphere	78	0.49
T-spelta-T-RS-1-4	Triticum_spelta	Ancestral	Treated	1	4	Rhizosphere	79	1.49
T-spelta-T-RS-2-39	Triticum_spelta	Ancestral	Treated	2	39	Rhizosphere	80	1.75
T-spelta-T-RS-3-28	Triticum_spelta	Ancestral	Treated	3	28	Rhizosphere	74.5	1.39
T-spelta-T-RS-4-36	Triticum_spelta	Ancestral	Treated	4	36	Rhizosphere	73	1.29
T-spelta-UnT-RS-1-32	Triticum_spelta	Ancestral	UnTreated	1	32	Rhizosphere	67	0.51
T-spelta-UnT-RS-2-27	Triticum_spelta	Ancestral	UnTreated	2	27	Rhizosphere	68.5	0.63
T-spelta-UnT-RS-3-38	Triticum_spelta	Ancestral	UnTreated	3	38	Rhizosphere	69	0.98
T-spelta-UnT-RS-4-10	Triticum_spelta	Ancestral	UnTreated	4	10	Rhizosphere	59.6	0.52
T-uranicum-T-RS-1-31	Triticum_uranicum	Ancestral	Treated	1	31	Rhizosphere	85.2	2.14
T-uranicum-T-RS-2-31	Triticum_uranicum	Ancestral	Treated	2	31	Rhizosphere	94	1.87
T-uranicum-T-RS-3-10	Triticum_uranicum	Ancestral	Treated	3	10	Rhizosphere	97	1.08
T-uranicum-T-RS-4-13	Triticum_uranicum	Ancestral	Treated	4	13	Rhizosphere	93	1.93
T-uranicum-UnT-RS-1-3	Triticum_uranicum	Ancestral	UnTreated	1	3	Rhizosphere	59	0.59
T-uranicum-UnT-RS-2-28	Triticum_uranicum	Ancestral	UnTreated	2	28	Rhizosphere	67	0.54
T-uranicum-UnT-RS-3-21	Triticum_uranicum	Ancestral	UnTreated	3	21	Rhizosphere	76	0.54
T-uranicum-UnT-RS-4-27	Triticum_uranicum	Ancestral	UnTreated	4	27	Rhizosphere	70	0.6
T-uratu-T-RS-2-8	Triticum_uratu	Ancestral	Treated	2	8	Rhizosphere	33	1.14
T-uratu-T-RS-3-26	Triticum_uratu	Ancestral	Treated	3	26	Rhizosphere	40	1.4
T-uratu-T-RS-4-35	Triticum_uratu	Ancestral	Treated	4	35	Rhizosphere	30	1.02
T-uratu-UnT-RS-1-25	Triticum_uratu	Ancestral	UnTreated	1	25	Rhizosphere	34.5	0.69
T-uratu-UnT-RS-2-10	Triticum_uratu	Ancestral	UnTreated	2	10	Rhizosphere	49.5	0.39
T-uratu-UnT-RS-3-31	Triticum_uratu	Ancestral	UnTreated	3	31	Rhizosphere	43.5	0.39
T-uratu-UnT-RS-4-38	Triticum_uratu	Ancestral	UnTreated	4	38	Rhizosphere	55.5	
Victor-T-RS-1-13	Victor	Heritage	Treated	1	13	Rhizosphere	56.5	2.58
Victor-T-RS-2-18	Victor	Heritage	Treated	2	18	Rhizosphere	55	2.12
Victor-T-RS-3-5	Victor	Heritage	Treated	3	5	Rhizosphere	53	3.82
Victor-T-RS-4-8	Victor	Heritage	Treated	4	8	Rhizosphere	43	3.08
Victor-UnT-RS-1-34	Victor	Heritage	UnTreated	1	34	Rhizosphere	49.5	0.58
Victor-UnT-RS-2-9	Victor	Heritage	UnTreated	2	9	Rhizosphere	74	1.36
Victor-UnT-RS-3-2	Victor	Heritage	UnTreated	3	2	Rhizosphere	60.5	0.62
Victor-UnT-RS-4-21	Victor	Heritage	UnTreated	4	21	Rhizosphere	60.5	1.35
Blank-1	Blank							
Blank-2	Blank							
Mock-Community-1	Mock_Community							
Mock-Community-2	Mock_Community							
