sample-id	Plant	Wheat variety	Treatment	Block	Plot	Compartment	Plant height (cm)	Plant_biomass_(g)
Hereward-T-RP-4-32	Hereward	Heritage	Treated	4	32	Rhizoplane	62	1.27
Hereward-UnT-RP-1-7	Hereward	Heritage	UnTreated	1	7	Rhizoplane	39.5	0.5
Hereward-UnT-RP-2-30	Hereward	Heritage	UnTreated	2	30	Rhizoplane	42.5	0.53
Hereward-UnT-RP-3-19	Hereward	Heritage	UnTreated	3	19	Rhizoplane	40	0.56
Malacca-T-RP-1-12	Malacca	Heritage	Treated	1	12	Rhizoplane	35.5	2.06
Malacca-T-RP-2-3	Malacca	Heritage	Treated	2	3	Rhizoplane	26	0.56
Malacca-T-RP-3-37	Malacca	Heritage	Treated	3	37	Rhizoplane	43	1.4
Malacca-T-RP-4-26	Malacca	Heritage	Treated	4	26	Rhizoplane	35.5	2.37
Malacca-UnT-RP-1-29	Malacca	Heritage	UnTreated	1	29	Rhizoplane	38	0.57
Malacca-UnT-RP-2-24	Malacca	Heritage	UnTreated	2	24	Rhizoplane	44.5	0.51
Malacca-UnT-RP-3-32	Malacca	Heritage	UnTreated	3	32	Rhizoplane	38	0.48
RL-T-RP-1-35	Red Llammas	Heritage	Treated	1	35	Rhizoplane	60	2.64
RL-T-RP-2-21	Red Llammas	Heritage	Treated	2	21	Rhizoplane	70	2.4
RL-T-RP-3-24	Red Llammas	Heritage	Treated	3	24	Rhizoplane	67	3.18
RL-T-RP-4-19	Red Llammas	Heritage	Treated	4	19	Rhizoplane	71.5	2.9
RL-UnT-RP-1-40	Red Llammas	Heritage	UnTreated	1	40	Rhizoplane	44	0.65
RL-UnT-RP-2-35	Red Llammas	Heritage	UnTreated	2	35	Rhizoplane	67	1.18
RL-UnT-RP-3-12	Red Llammas	Heritage	UnTreated	3	12	Rhizoplane	69	0.77
RL-UnT-RP-4-6	Red Llammas	Heritage	UnTreated	4	6	Rhizoplane	56.5	0.5
T-carthilicum-T-RP-1-8	Triticum_carthilicum	Ancestral	Treated	1	8	Rhizoplane	53	0.39
T-carthilicum-T-RP-2-19	Triticum_carthilicum	Ancestral	Treated	2	19	Rhizoplane	45	0.85
T-carthilicum-T-RP-3-11	Triticum_carthilicum	Ancestral	Treated	3	11	Rhizoplane	58	1.4
T-carthilicum-T-RP-4-9	Triticum_carthilicum	Ancestral	Treated	4	9	Rhizoplane	54.2	0.87
T-carthilicum-UnT-RP-1-37	Triticum_carthilicum	Ancestral	UnTreated	1	37	Rhizoplane	50	0.36
T-carthilicum-UnT-RP-2-16	Triticum_carthilicum	Ancestral	UnTreated	2	16	Rhizoplane	53.5	0.3
